name,code
Aerospace Studies,AERO ST
African American Studies,AF AMER
African Area Studies,AFR STD
African Languages,AF LANG
African Languages,AFRICAN
African Studies,AF STDS
African Studies,AFRC ST
Afrikaans,AFRKAAN
Afro-American Studies,AFRO-AM
American Indian Studies,AM IND
American Sign Language,ASL
Ancient Near East,AN N EA
Anesthesiology,ANES
Anthropology,ANTHRO
Applied Linguistics,AP LING
Applied Linguistics,APPLING
Applied Linguistics and Tesl,AP&TESL
Arabic,ARABIC
Archaeology,ARCHEOL
Architecture and Urban Design,ARCH&UD
Armenian,ARMENIA
Art,ART
Art History,ART HIS
Arts Education,ARTS ED
Arts and Architecture,ART&ARC
Asian,ASIAN
Asian American Studies,ASIA AM
Astronomy,ASTR
Atmospheric Sciences,ATMOSCI
Atmospheric and Oceanic Sciences,A&O SCI
Berber,BERBER
Bioengineering,BIOENGR
Bioinformatics (Graduate),BIOINFO
Bioinformatics (Undergraduate),BIOINFR
Biological Chemistry,BIOL CH
Biomathematics,BIOMATH
Biomedical Engineering,BIOMED
Biomedical Physics,BMEDPHY
Biomedical Research,BMD RES
Biostatistics,BIOSTAT
Bulgarian,BULGAR
Bulgarian,BULGR
Central and East European Studies,C&EE ST
Central and East European Studies,CEE STD
Chemical Engineering,CH ENGR
Chemical Engineering,CHM ENG
Chemistry and Biochemistry,CHEM
Chicana and Chicano Studies,CHICANO
Chinese,CHINESE
Chinese,CHIN
Civic Engagement,CIVIC
Civil and Environmental Engineering,C&EE
Classics,CLASSIC
Clusters,CLUSTER
Communication,COMM
Communication Studies,COM STD
Communication Studies,COMM ST
Community Engagement and Social Change,CESC
Community Health Sciences,COM HLT
Comparative Literature,COM LIT
Computational and Systems Biology,C&S BIO
Computer Science,COM SCI
Conservation of Archaeological and Ethnographic Materials,CAEM
Cybernetics,CYBER
Czech,CZECH
Czech,CZCH
Dance,DANCE
Dentistry,DENT
Design,DESIGN
Design / Media Arts,DESMA
Digital Humanities,DGT HUM
Disability Studies,DIS STD
Dutch,DUTCH
Earth and Space Sciences,E&S SCI
"Earth, Planetary, and Space Sciences",EPS SCI
East Asian Languages and Cultures,E ASIAN
East Asian Studies,E A STD
East Asian Studies,EA STDS
Ecology and Evolutionary Biology,EE BIOL
Economics,ECON
Education,EDUC
Electrical Engineering,EL ENGR
Electrical and Computer Engineering,EC ENGR
Engineering,ENGR
English,ENGL
English Composition,ENGCOMP
English as A Second Language,ESL
Environment,ENVIRON
Environmental Health Sciences,ENV HLT
Environmental Science and Engineering,ENV SCI
Epidemiology,EPIDEM
Ethnomusicology,ETHNOMU
Ethnomusicology,ETHNMUS
European Studies,EUR STD
European Studies,EURO ST
Family Medicine,FAM MED
Filipino,FILIPNO
Film and Television,FILM TV
Film and Television,FILM&TV
Folklore and Mythology,FLKLORE
Food Studies,FOOD ST
French,FRENCH
French,FRNCH
Gender Studies,GENDER
General Education Clusters,GE CLST
Geography,GEOG
Geriatrics,GERIATR
German,GERMAN
Gerontology,GRNTLGY
Global Health,GLB HLT
Global Jazz Studies,GJ STDS
Global Studies,GLBL ST
Graduate Student Professional Development,GRAD PD
Greek,GREEK
Health Policy and Management,HLT POL
Health Services,HLT SER
Hebrew,HEBREW
Hindi-Urdu,HIN-URD
History,HIST
Honors Collegium,HNRS
Human Complex Systems,HUM CS
Human Genetics,HUM GEN
Humanities,HUMANIT
Hungarian,HUNGRN
Hungarian,HNGAR
Hungarian,HUNGAR
Indic,INDIC
Indigenous Languages of the Americas,ILA
Indigenous Languages of the Americas,IL AMER
Indo-European Studies,I E STD
Indonesian,INDO
Information Studies,INF STD
International Development Studies,INTL DV
International Development Studies,INT DEV
International Migration Studies,I M STD
International and Area Studies,I A STD
Iranian,IRANIAN
Islamic Studies,ISL STD
Islamic Studies,ISLM ST
Islamics,ISLAMIC
Italian,ITALIAN
Japanese,JAPANSE
Japanese,JAPAN
Jewish Studies,JEWISH
Korean,KOREA
Korean,KOREAN
L&S Excess Community College Units,LSEXC
Labor Studies,LBR STD
Labor and Workplace Studies,LBR&WS
Latin,LATIN
Latin American Studies,LATN AM
Latin American Studies,LAT AM
Law,LAW
Law (Undergraduate),UG-LAW
"Lesbian, Gay, Bisexual, Transgender, and Queer Studies",LGBTQS
"Lesbian, Gay, Bisexual, and Transgender Studies",LGBTS
Library and Information Science,L&I SCI
Life Sciences,LIFESCI
Linguistics,LING
Lithuanian,LITHUAN
Lithuanian,LTHUAN
Management,MGMT
Management-Executive MBA,MGMTEX
Management-Full-Time MBA,MGMTFT
Management-Fully Employed MBA,MGMTFE
Management-Global Executive MBA Asia Pacific,MGMTGEX
Management-Master of Financial Engineering,MGMTMFE
Management-Master of Science in Business Analytics,MGMTMSA
Management-PhD,MGMTPHD
Materials Science and Engineering,MAT SCI
Mathematics,MATH
Mechanical and Aerospace Engineering,MECH&AE
Medical History,MED HIS
Medicine,MED
Microbiology,MICROB
Microbiology and Immunology,MIC&IMM
"Microbiology, Immunology, and Molecular Genetics",MIMG
Middle Eastern Studies,M E STD
Middle Eastern and North African Studies,MENAS
Military Science,MIL SCI
Molecular Biology,MOL BIO
Molecular Toxicology,MOL TOX
Molecular and Medical Pharmacology,M PHARM
"Molecular, Cell, and Developmental Biology",MCD BIO
"Molecular, Cellular, and Integrative Physiology",MC&IP
Moving Image Archive Studies,MIA STD
Music,MUSIC
Music,MUSC
Music History,MSC HST
Music History,MUS HST
Music Industry,MSC IND
Music Industry,MUS IND
Musicology,MUSCLGY
Musicology,MUSCLG
Naval Science,NAV SCI
Near Eastern Languages,NR EAST
Neurobiology,NEURBIO
Neurology,NEURLGY
Neuroscience,NEUROSC
Neuroscience (Graduate),NEURO
Neurosurgery,NEURSGY
Nursing,NURSING
Obstetrics and Gynecology,OBGYN
Old Norse Studies,NORSE
Ophthalmology,OPTH
Oral Biology,ORL BIO
"Organismic Biology, Ecology, and Evolution",OBEE
Orthopaedic Surgery,ORTHPDC
Pathology and Laboratory Medicine,PATH
Pediatrics,PEDS
Philosophy,PHILOS
Physics,PHYSICS
Physics and Biology in Medicine,PBMED
Physiological Science,PHY SCI
Physiological Science,PHYSCI
Physiology,PHYSIOL
Policy Studies,PLCY ST
Polish,POLISH
Polish,POLSH
Political Science,POL SCI
Portuguese,PORTGSE
Program in Computing,COMPTNG
Psychiatry and Biobehavioral Sciences,PSYCTRY
Psychology,PSYCH
Public Affairs,PUB AFF
Public Health,PUB HLT
Public Policy,PUB PLC
Quechua,QUECHUA
Radiation Oncology,RAD ONC
"Religion, Study of",RELIGN
Romance Linguistics and Literature,ROM L&L
Romanian,ROMANIA
Romanian,ROMAN
Russian,RUSSN
Russian,RUSSIAN
Scandinavian,SCAND
Scheduling Room Hold,SCH RM
Science Education,SCI EDU
Semitic,SEMITIC
Serbian/Croatian,SRB CRO
Serbian/Croatian,SER CRO
Serbo-Croatian,SERBO
Slavic,SLAVIC
Slavic,SLAVC
Slovak,SLOVAK
Social Science,SOC SC
Social Sciences,SOC SCI
Social Thought,SOC THT
Social Welfare,SOC WEL
Social Welfare,SOC WLF
Society and Genetics,SOC&GEN
Society and Genetics,SOC GEN
Sociology,SOCIOL
South Asian,S ASIAN
South Asian Studies,SA STD
South and Southeast Asian Languages,SSEAL
South and Southeast Asian Languages and Cultures,SSEALC
Southeast Asian,SEASIAN
Southeast Asian Studies,SE A ST
Southeast Asian Studies,SE ASIA
Spanish,SPAN
Speech,SPCH
Speech,SPEECH
Statistics,STATS
Surgery,SURGERY
Swahili,SWAHILI
Thai,THAI
Theater,THEATER
Turkic Languages,TURKIC
Ukrainian,UKRN
Ukrainian,UKRAIN
University Studies,UNIV ST
Urban Planning,URB PLN
Urban Planning,URBN PL
Urology,UROLOGY
Vietnamese,VIETMSE
Women's Studies,WOMEN
Women's Studies,WOM STD
World Arts and Cultures,WLD ART
World Arts and Cultures,WL ARTS
Yiddish,YIDDSH
Yiddish,YIDDISH
